Ville; Prix; Surface; NbrChambre; NbrPiece; Date; MatchCriteria; WebSite; ToCheck; UrlDetail
MONTREUIL; 540000; 185; 7; 7; 25/05/2017 22:40:32; True; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-montreuil,6029,833160,fr.html
VITRY SUR SEINE; 510000; 170; 9; 9; 25/05/2017 22:40:32; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-vitry-sur-seine,6029,1574976,fr.html
LIVRY GARGAN; 475000; 186; 6; 6; 25/05/2017 22:40:31; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-livry-gargan,6029,1320270,fr.html
EPONE; -666; 200; 6; 6; 25/05/2017 22:40:31; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-epone,6029,1465413,fr.html
SAINT BRIEUC; 414000; 210; 8; 8; 25/05/2017 22:40:30; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-saint-brieuc,6029,1581331,fr.html
MONTREUIL; 405600; -666; 4; 4; 25/05/2017 22:40:30; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-montreuil,6029,1733004,fr.html
MONTREUIL; 399000; 230; 9; 9; 25/05/2017 22:40:29; True; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-montreuil,6029,m05974,fr.html
CHAMPIGNY SUR MARNE; 395000; 105; 6; 6; 25/05/2017 22:40:28; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-champigny-sur-marne,6029,1277549,fr.html
SEVRAN; 379000; 200; 4; 4; 25/05/2017 22:40:27; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-sevran,6029,814347,fr.html
LES PAVILLONS SOUS BOIS; 365000; 120; 5; 5; 25/05/2017 22:40:26; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-les-pavillons-sous-bois,6029,1373088,fr.html
DRANCY; 360000; 120; 5; 5; 25/05/2017 22:40:26; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-drancy,6029,1669979,fr.html
SEVRAN; 354000; 122; 5; 5; 25/05/2017 22:40:26; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-sevran,6029,828090,fr.html
CHELLES; 349000; 115; 5; 5; 25/05/2017 22:40:25; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-chelles,6029,1310710,fr.html
LIVRY GARGAN; 345000; 125; 5; 5; 25/05/2017 22:40:24; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-livry-gargan,6029,1327459,fr.html
STIGNY; 334000; 250; 8; 8; 25/05/2017 22:40:23; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-stigny,6029,950300,fr.html
MONTREUIL; 320000; 74; 3; 3; 25/05/2017 22:40:23; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-montreuil,6029,1305299,fr.html
SAINT MAURICE SUR MOSELLE; 320000; 190; 7; 7; 25/05/2017 22:40:21; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-saint-maurice-sur-moselle,6029,8586618,fr.html
LES PAVILLONS SOUS BOIS; 315000; 80; 3; 3; 25/05/2017 22:40:21; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-maison-les-pavillons-sous-bois,6029,1638490,fr.html
BRY SUR MARNE; 697000; 120; 0; 120; 25/05/2017 22:40:30; False; www.emotion.immo; True; http://www.emotion.immo/../fiches/4-40-26_20647796/maison-bry-sur-marne.html
LE PERREUX SUR MARNE; 167500; 38; 0; 38; 25/05/2017 22:40:29; False; www.emotion.immo; True; http://www.emotion.immo/../fiches/3-33-28_19594502/appartement-le-perreux-sur-marne-2-piece-s-38-m2.html
NOGENT SUR MARNE; 338000; 60; 0; 60; 25/05/2017 22:40:28; False; www.emotion.immo; True; http://www.emotion.immo/../fiches/3-33-29_19233728/appartement-nogent-sur-marne-3-piece-s-60-4-m2-avec-terrasse-et-jardin-de-120m2.html
NOGENT SUR MARNE; 283000; 44; 0; 44; 25/05/2017 22:40:27; False; www.emotion.immo; True; http://www.emotion.immo/../fiches/3-33-28_20657691/appartement-nogent-sur-marne-2-piece-s-44-m2.html
BRY SUR MARNE; 395000; 49; 0; 49; 25/05/2017 22:40:26; False; www.emotion.immo; True; http://www.emotion.immo/../fiches/3-33-29_20656133/appartement-bry-sur-marne-3-piece-s-49-m2.html
NOGENT SUR MARNE; 884000; 140; 0; 140; 25/05/2017 22:40:24; False; www.emotion.immo; True; http://www.emotion.immo/../fiches/4-40-26_20751889/maison-6-piece-s-150-m2.html
VINCENNES; 535000; 71; 3; 3; 25/05/2017 22:40:31; False; www.properties-v.com; True; http://www.properties-v.com/property-detail.php?ID=D503-01-14830892&q=ville%3D%26type_bien%3D%26budget%3D2%26surface%3D1%26trier_par%3D%26page%3D4
ST MAURICE; 550000; 82; 5; 5; 25/05/2017 22:40:31; False; www.properties-v.com; True; http://www.properties-v.com/property-detail.php?ID=D503-01-15389972&q=ville%3D%26type_bien%3D%26budget%3D2%26surface%3D1%26trier_par%3D%26page%3D4
VINCENNES; 570000; 63; 3; 3; 25/05/2017 22:40:30; False; www.properties-v.com; True; http://www.properties-v.com/property-detail.php?ID=D503-01-15344440&q=ville%3D%26type_bien%3D%26budget%3D2%26surface%3D1%26trier_par%3D%26page%3D4
VINCENNES; 585000; 68; 3; 3; 25/05/2017 22:40:30; False; www.properties-v.com; True; http://www.properties-v.com/property-detail.php?ID=D503-01-15382807&q=ville%3D%26type_bien%3D%26budget%3D2%26surface%3D1%26trier_par%3D%26page%3D3
VINCENNES; 595000; 71; 3; 3; 25/05/2017 22:40:29; False; www.properties-v.com; True; http://www.properties-v.com/property-detail.php?ID=D503-01-15285380&q=ville%3D%26type_bien%3D%26budget%3D2%26surface%3D1%26trier_par%3D%26page%3D3
VINCENNES; 618000; 71; 4; 4; 25/05/2017 22:40:29; False; www.properties-v.com; True; http://www.properties-v.com/property-detail.php?ID=D503-01-15320052&q=ville%3D%26type_bien%3D%26budget%3D2%26surface%3D1%26trier_par%3D%26page%3D3
VINCENNES; 620000; 71; 3; 3; 25/05/2017 22:40:29; False; www.properties-v.com; True; http://www.properties-v.com/property-detail.php?ID=D503-01-15214146&q=ville%3D%26type_bien%3D%26budget%3D2%26surface%3D1%26trier_par%3D%26page%3D3
VINCENNES; 635000; 72; 3; 3; 25/05/2017 22:40:28; False; www.properties-v.com; True; http://www.properties-v.com/property-detail.php?ID=D503-01-15104096&q=ville%3D%26type_bien%3D%26budget%3D2%26surface%3D1%26trier_par%3D%26page%3D3
VINCENNES; 700000; 92; 4; 4; 25/05/2017 22:40:28; True; www.properties-v.com; True; http://www.properties-v.com/property-detail.php?ID=D503-01-15103946&q=ville%3D%26type_bien%3D%26budget%3D2%26surface%3D1%26trier_par%3D%26page%3D2
VINCENNES; 720000; 97; 5; 5; 25/05/2017 22:40:27; True; www.properties-v.com; True; http://www.properties-v.com/property-detail.php?ID=D503-01-15263066&q=ville%3D%26type_bien%3D%26budget%3D2%26surface%3D1%26trier_par%3D%26page%3D2
MONTREUIL; 750000; 130; 6; 6; 25/05/2017 22:40:27; True; www.properties-v.com; True; http://www.properties-v.com/property-detail.php?ID=D503-01-15393826&q=ville%3D%26type_bien%3D%26budget%3D2%26surface%3D1%26trier_par%3D%26page%3D2
FONTENAY SOUS BOIS; 785000; 105; 5; 5; 25/05/2017 22:40:27; True; www.properties-v.com; True; http://www.properties-v.com/property-detail.php?ID=D503-01-15281029&q=ville%3D%26type_bien%3D%26budget%3D2%26surface%3D1%26trier_par%3D%26page%3D2
VINCENNES; 789000; 99; 5; 5; 25/05/2017 22:40:26; True; www.properties-v.com; True; http://www.properties-v.com/property-detail.php?ID=D503-01-15332483&q=ville%3D%26type_bien%3D%26budget%3D2%26surface%3D1%26trier_par%3D%26page%3D2
ST MANDE; 850000; 98; 5; 5; 25/05/2017 22:40:26; False; www.properties-v.com; True; http://www.properties-v.com/property-detail.php?ID=D503-01-14830844&q=ville%3D%26type_bien%3D%26budget%3D2%26surface%3D1%26trier_par%3D%26page%3D1
VINCENNES; 860000; 115; 5; 5; 25/05/2017 22:40:25; False; www.properties-v.com; True; http://www.properties-v.com/property-detail.php?ID=D503-01-15061057&q=ville%3D%26type_bien%3D%26budget%3D2%26surface%3D1%26trier_par%3D%26page%3D1
VINCENNES; 950000; 110; 6; 6; 25/05/2017 22:40:25; False; www.properties-v.com; True; http://www.properties-v.com/property-detail.php?ID=D503-01-15349747&q=ville%3D%26type_bien%3D%26budget%3D2%26surface%3D1%26trier_par%3D%26page%3D1
VINCENNES; 970000; 136; 6; 6; 25/05/2017 22:40:25; False; www.properties-v.com; True; http://www.properties-v.com/property-detail.php?ID=D503-01-14879692&q=ville%3D%26type_bien%3D%26budget%3D2%26surface%3D1%26trier_par%3D%26page%3D1
FONTENAY SOUS BOIS; 1000000; 111; 4; 4; 25/05/2017 22:40:24; False; www.properties-v.com; True; http://www.properties-v.com/property-detail.php?ID=D503-01-15397121&q=ville%3D%26type_bien%3D%26budget%3D2%26surface%3D1%26trier_par%3D%26page%3D1
FONTENAY SOUS BOIS; 262000; 57; 0; 3; 25/05/2017 22:40:32; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2188&mt=02208&menu=2
FONTENAY SOUS BOIS; 260000; 63; 0; 3; 25/05/2017 22:40:32; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2286&mt=02311&menu=2
FONTENAY SOUS BOIS; 228000; 60; 0; 3; 25/05/2017 22:40:31; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2025&mt=01855&menu=2
FONTENAY SOUS BOIS; 225000; 60; 0; 3; 25/05/2017 22:40:30; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2082&mt=02058&menu=2
FONTENAY SOUS BOIS; 225000; 66; 0; 3; 25/05/2017 22:40:29; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2187&mt=vivis&menu=2
FONTENAY SOUS BOIS; 219000; 50; 0; 3; 25/05/2017 22:40:29; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=1936&mt=ME&menu=2
FONTENAY SOUS BOIS; 218000; 65; 0; 3; 25/05/2017 22:40:28; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2177&mt=ben1&menu=2
FONTENAY SOUS BOIS; 215000; 35; 0; 2; 25/05/2017 22:40:28; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2298&mt=770772&menu=2
FONTENAY SOUS BOIS; 205000; 63; 0; 3; 25/05/2017 22:40:27; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2172&mt=Dada&menu=2
FONTENAY SOUS BOIS; 199900; 59; 0; 3; 25/05/2017 22:40:26; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2150&mt=02164&menu=2
FONTENAY SOUS BOIS; 199500; 82; 0; 4; 25/05/2017 22:40:25; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2216&mt=&menu=2
FONTENAY SOUS BOIS; 199000; 48; 0; 2; 25/05/2017 22:40:25; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2275&mt=02313&menu=2
FONTENAY SOUS BOIS; 189500; 25; 0; 1; 25/05/2017 22:40:24; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2261&mt=Vincennes&menu=2
FONTENAY SOUS BOIS; 189000; 32; 0; 2; 25/05/2017 22:40:23; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2198&mt=0211aaa&menu=2
FONTENAY SOUS BOIS; 188000; 39; 0; 2; 25/05/2017 22:40:23; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2247&mt=02270&menu=2
FONTENAY SOUS BOIS; 174000; 37; 0; 2; 25/05/2017 22:40:22; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2125&mt=hihi&menu=2
FONTENAY SOUS BOIS; 174000; 55; 0; 3; 25/05/2017 22:40:22; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2191&mt=do2&menu=2
FONTENAY SOUS BOIS; 169000; 29; 0; 2; 25/05/2017 22:40:22; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2249&mt=DEMANN&menu=2
FONTENAY SOUS BOIS; 168000; 26; 0; 1; 25/05/2017 22:40:21; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2184&mt=namumu&menu=2
FONTENAY SOUS BOIS; 165000; 33; 0; 2; 25/05/2017 22:40:21; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2265&mt=02293&menu=2
FONTENAY SOUS BOIS; 12900; 13; 0; 1; 25/05/2017 22:40:21; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2208&mt=02207&menu=2
FONTENAY SOUS BOIS; 158000; 25; 0; -666; 25/05/2017 22:40:40; False; www.lcimmo.fr; True; http://www.lcimmo.fr/vente/details/83/vente-appartement-2-pieces-1-chambre-fontenay-sous-bois-94120/
FONTENAY SOUS BOIS; 416000; 80; 0; -666; 25/05/2017 22:40:40; False; www.lcimmo.fr; True; http://www.lcimmo.fr/vente/details/186/vente-maison-4-pieces-2-chambres-fontenay-sous-bois-94120/
FONTENAY SOUS BOIS; 235000; 40; 0; -666; 25/05/2017 22:40:40; False; www.lcimmo.fr; True; http://www.lcimmo.fr/vente/details/227/vente-appartement-2-pieces-1-chambre-fontenay-sous-bois-94120/
FONTENAY SOUS BOIS; 370000; 71; 0; -666; 25/05/2017 22:40:39; False; www.lcimmo.fr; True; http://www.lcimmo.fr/vente/details/270/vente-appartement-3-pieces-fontenay-sous-bois-94120/
NOGENT SUR MARNE; 490000; 76; 0; -666; 25/05/2017 22:40:39; False; www.lcimmo.fr; True; http://www.lcimmo.fr/vente/details/281/vente-appartement-4-pieces-2-chambres-nogent-sur-marne-94130/
FONTENAY SOUS BOIS; 426000; 110; 0; -666; 25/05/2017 22:40:39; False; www.lcimmo.fr; True; http://www.lcimmo.fr/vente/details/322/vente-maison-de-ville-3-pieces-2-chambres-fontenay-sous-bois-94120/
FONTENAY SOUS BOIS; 799000; 160; 0; -666; 25/05/2017 22:40:39; False; www.lcimmo.fr; True; http://www.lcimmo.fr/vente/details/362/vente-maison-7-pieces-fontenay-sous-bois-94120/
FONTENAY SOUS BOIS; 1280000; 250; 0; -666; 25/05/2017 22:40:39; False; www.lcimmo.fr; True; http://www.lcimmo.fr/vente/details/366/vente-maison-8-pieces-5-chambres-fontenay-sous-bois-94120/
FONTENAY SOUS BOIS; 1450000; 200; 0; -666; 25/05/2017 22:40:38; False; www.lcimmo.fr; True; http://www.lcimmo.fr/vente/details/367/vente-maison-8-pieces-5-chambres-fontenay-sous-bois-94120/
FONTENAY SOUS BOIS; 749000; 180; 0; -666; 25/05/2017 22:40:38; False; www.lcimmo.fr; True; http://www.lcimmo.fr/vente/details/368/vente-maison-8-pieces-5-chambres-fontenay-sous-bois-94120/
FONTENAY SOUS BOIS; 1350000; 170; 0; -666; 25/05/2017 22:40:38; False; www.lcimmo.fr; True; http://www.lcimmo.fr/vente/details/369/vente-maison-8-pieces-5-chambres-fontenay-sous-bois-94120/
FONTENAY SOUS BOIS; 950000; 150; 0; -666; 25/05/2017 22:40:38; False; www.lcimmo.fr; True; http://www.lcimmo.fr/vente/details/370/vente-maison-7-pieces-5-chambres-fontenay-sous-bois-94120/
