Ville; Prix; Surface; NbrChambre; NbrPiece; Date; MatchCriteria; WebSite; ToCheck; UrlDetail
PARTICULIER FONTENAY SOUS BOIS; 3700000; 700; 5; 11; 20/05/2017 23:12:09; False; www.agencesopportunity.com; True; http://www.agencesopportunity.com/annonce,vente-hotel-particulier-fontenay-sous-bois,6029,890019,fr.html
FONTENAY SOUS BOIS; 12900; 13; 0; 1; 20/05/2017 23:12:10; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2208&mt=02207&menu=2
FONTENAY SOUS BOIS; 165000; 33; 0; 2; 20/05/2017 23:12:10; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2265&mt=02293&menu=2
FONTENAY SOUS BOIS; 168000; 26; 0; 1; 20/05/2017 23:12:10; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2184&mt=namumu&menu=2
FONTENAY SOUS BOIS; 169000; 29; 0; 2; 20/05/2017 23:12:10; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2249&mt=DEMANN&menu=2
FONTENAY SOUS BOIS; 174000; 55; 0; 3; 20/05/2017 23:12:10; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2191&mt=do2&menu=2
FONTENAY SOUS BOIS; 174000; 37; 0; 2; 20/05/2017 23:12:10; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2125&mt=hihi&menu=2
FONTENAY SOUS BOIS; 188000; 39; 0; 2; 20/05/2017 23:12:11; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2247&mt=02270&menu=2
FONTENAY SOUS BOIS; 189000; 32; 0; 2; 20/05/2017 23:12:11; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2198&mt=0211aaa&menu=2
FONTENAY SOUS BOIS; 189500; 25; 0; 1; 20/05/2017 23:12:11; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2261&mt=Vincennes&menu=2
FONTENAY SOUS BOIS; 199000; 48; 0; 2; 20/05/2017 23:12:11; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2275&mt=02313&menu=2
FONTENAY SOUS BOIS; 199500; 82; 0; 4; 20/05/2017 23:12:11; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2216&mt=&menu=2
FONTENAY SOUS BOIS; 199900; 59; 0; 3; 20/05/2017 23:12:11; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2150&mt=02164&menu=2
FONTENAY SOUS BOIS; 205000; 63; 0; 3; 20/05/2017 23:12:11; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2172&mt=Dada&menu=2
FONTENAY SOUS BOIS; 215000; 35; 0; 2; 20/05/2017 23:12:11; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2298&mt=770772&menu=2
FONTENAY SOUS BOIS; 218000; 65; 0; 3; 20/05/2017 23:12:11; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2177&mt=ben1&menu=2
FONTENAY SOUS BOIS; 219000; 50; 0; 3; 20/05/2017 23:12:12; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=1936&mt=ME&menu=2
FONTENAY SOUS BOIS; 225000; 66; 0; 3; 20/05/2017 23:12:12; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2187&mt=vivis&menu=2
FONTENAY SOUS BOIS; 225000; 60; 0; 3; 20/05/2017 23:12:12; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2082&mt=02058&menu=2
FONTENAY SOUS BOIS; 228000; 60; 0; 3; 20/05/2017 23:12:12; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2025&mt=01855&menu=2
FONTENAY SOUS BOIS; 260000; 63; 0; 3; 20/05/2017 23:12:12; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2286&mt=02311&menu=2
FONTENAY SOUS BOIS; 262000; 57; 0; 3; 20/05/2017 23:12:12; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2188&mt=02208&menu=2
FONTENAY SOUS BOIS; 265000; 60; 0; 3; 20/05/2017 23:12:12; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2304&mt=LafB&menu=2
FONTENAY SOUS BOIS; 277000; 82; 0; 4; 20/05/2017 23:12:12; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2299&mt=02327&menu=2
FONTENAY SOUS BOIS; 290000; 62; 0; 3; 20/05/2017 23:12:12; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2119&mt=02118&menu=2
FONTENAY SOUS BOIS; 297000; 71; 0; 4; 20/05/2017 23:12:13; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2251&mt=02272&menu=2
FONTENAY SOUS BOIS; 299000; 60; 0; 3; 20/05/2017 23:12:13; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2266&mt=REF2031&menu=2
FONTENAY SOUS BOIS; 300000; 53; 0; 3; 20/05/2017 23:12:13; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2291&mt=zinado&menu=2
FONTENAY SOUS BOIS; 315000; 57; 0; 315000; 20/05/2017 23:12:13; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2255&mt=excl2&menu=2
FONTENAY SOUS BOIS; 319000; 88; 0; 4; 20/05/2017 23:12:13; True; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2254&mt=02279&menu=2
ROSNY SOUS BOIS; 330000; 100; 0; 5; 20/05/2017 23:12:13; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2282&mt=02317&menu=2
FONTENAY SOUS BOIS; 335000; 87; 0; 4; 20/05/2017 23:12:14; True; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2278&mt=hatt&menu=2
FONTENAY SOUS BOIS; 339000; 68; 0; 4; 20/05/2017 23:12:14; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2218&mt=34piècesRIGOLLOTSPLEINSUD&menu=2
FONTENAY SOUS BOIS; 345000; 68; 0; 3; 20/05/2017 23:12:14; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2292&mt=dodododo&menu=2
FONTENAY SOUS BOIS; 348000; 62; 0; 4; 20/05/2017 23:12:14; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=2235&mt=4piècesvillageccaa&menu=2
FONTENAY SOUS BOIS; 350000; 55; 0; 3; 20/05/2017 23:12:14; False; www.bsi94.com; True; http://www.bsi94.com/bsi-annonce-immobilier.php?ref=1986&mt=01970&menu=2
